type	chrom	p_id	p_start	p_end	r_id	r_start	r_end	overlap_len	coverage_pred	coverage_ref
FP	NC_089040.1	NC_089040.1:1195402-1195683(1195403:1195683|tsd_l:tsd)-0.5999	1195366	1195509	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1337739	1337791	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1337894	1337946	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1955506	1955558	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1955661	1955713	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1958031	1958083	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1958186	1958238	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1960496	1960548	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	2848095	2848147	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	2848250	2848302	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:5888385-5888552(5888386:5888552|tsd_l:16|tsd_s:5888404|tsd_e:5888540)-0.6540	2871409	2871502	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	2896105	2896157	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	2924199	2924275	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3120895	3120947	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3121050	3121102	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3276918	3276970	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3345086	3345134	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3914143	3914195	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:4082166-4082400(4082167:4082400|tsd_l:tsd)-0.5187	4082123	4082182	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	4188996	4189048	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	4826858	4826910	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	4827013	4827065	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	5108585	5108663	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	5123697	5123775	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:5138313-5138511(5138314:5138511|tsd_l:tsd)-0.8436	5138548	5138655	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:5158543-5158842(5158544:5158842|tsd_l:15|tsd_s:5158534|tsd_e:5158839)-0.6925	5158542	5158607	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	5327700	5327752	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:6122447-6122867(6122448:6122867|tsd_l:tsd)-0.5808	6122580	6122651	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6463271	6463323	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:21834209-21834489(21834210:21834489|tsd_l:tsd)-0.8020	6674790	6674857	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6697698	6697750	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7774001	7774053	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7774156	7774208	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:8693576-8693866(8693577:8693866|tsd_l:15|tsd_s:8693576|tsd_e:8693862)-0.6119	8693542	8693627	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	9735772	9735824	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	9735927	9735979	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	9913764	9913816	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:10031057-10031199(10031058:10031199|tsd_l:14|tsd_s:10031058|tsd_e:10031200)-0.7832	10031038	10031126	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	10824607	10824662	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	10824763	10824815	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:11716914-11717207(11716915:11717207|tsd_l:tsd)-0.8369	11716897	11716944	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:12862987-12863255(12862988:12863255|tsd_l:tsd)-0.5553	12863247	12863306	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	13045700	13045777	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	14120407	14120459	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:15064348-15064476(15064349:15064476|tsd_l:tsd)-0.5349	15064342	15064376	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	16548569	16548637	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	16626334	16626386	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	17156692	17156744	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	17156835	17156887	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	17354588	17354640	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089035.1:9169789-9169952(9169790:9169952|tsd_l:11|tsd_s:9169796|tsd_e:9169974)-0.7230	17890735	17890864	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:17892809-17893003(17892810:17893003|tsd_l:tsd)-0.5847	17892884	17892950	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	18593923	18593975	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	20950364	20950416	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	21196089	21196143	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	21499755	21499807	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	21499910	21499962	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:21834209-21834489(21834210:21834489|tsd_l:tsd)-0.8020	21834210	21834286	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:21904404-21904700(21904405:21904700|tsd_l:tsd)-0.8107	21904536	21904649	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:22196103-22196285(22196104:22196285|tsd_l:tsd)-0.5510	22196091	22196150	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:22837600-22837722(22837601:22837722|tsd_l:tsd)-0.5994	22837595	22837720	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	24091311	24091363	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	26189204	26189256	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089040.1:27568242-27568472(27568243:27568472|tsd_l:tsd)-0.5915	27568286	27568389	-	-	-	0	0.0	0.0
FP	NC_089040.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	31927818	31927869	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	1507411	1507463	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	2652665	2652717	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	2652820	2652872	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3324728	3324780	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3324883	3324935	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3435275	3435327	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3965782	3965834	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	3967432	3967484	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:4061403-4061540(4061404:4061540|tsd_l:10|tsd_s:4061421|tsd_e:4061576)-0.5579	4061308	4061373	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	4102588	4102721	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	4359646	4359723	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	4588903	4588955	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	5757641	5757693	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	5824554	5824606	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6181752	6181801	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6181907	6181959	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6722834	6722886	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	7002645	7002781	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:7420278-7420533(7420279:7420533|tsd_l:tsd)-0.8371	7420279	7420380	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7484731	7484785	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:7692107-7692298(7692108:7692298|tsd_l:17|tsd_s:7692108|tsd_e:7692299)-0.7879	7692116	7692174	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7724053	7724105	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089036.1:7268732-7268911(7268733:7268911|tsd_l:tsd)-0.5391	8042057	8042128	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089036.1:7268732-7268911(7268733:7268911|tsd_l:tsd)-0.5391	8496239	8496310	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:8952024-8952306(8952025:8952306|tsd_l:tsd)-0.7137	8952012	8952088	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	9101502	9101554	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	9830478	9830530	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089036.1:7268732-7268911(7268733:7268911|tsd_l:tsd)-0.5391	13654226	13654298	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:13654088-13654356(13654089:13654356|tsd_l:tsd)-0.5700	13654266	13654326	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:14908467-14908724(14908468:14908724|tsd_l:tsd)-0.6949	14908657	14908728	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:13654088-13654356(13654089:13654356|tsd_l:tsd)-0.5700	15193199	15193258	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:15466814-15467108(15466815:15467108|tsd_l:tsd)-0.5486	15466815	15466922	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089036.1:7268732-7268911(7268733:7268911|tsd_l:tsd)-0.5391	15520549	15520620	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:13654088-13654356(13654089:13654356|tsd_l:tsd)-0.5700	15520588	15520648	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:16011523-16011698(16011524:16011698|tsd_l:tsd)-0.5607	16011476	16011511	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:16278447-16278598(16278448:16278598|tsd_l:tsd)-0.5573	16278490	16278574	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	17297572	17297622	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	17574840	17574891	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	18069862	18069916	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	18742688	18742740	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	18742841	18742893	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	19136467	19136519	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	19391872	19391949	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089035.1:29397836-29398079(29397837:29398079|tsd_l:tsd)-0.6595	20590839	20590880	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	22027244	22027299	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	22027399	22027453	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	22301366	22301416	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	22560206	22560251	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:22607624-22607809(22607625:22607809|tsd_l:tsd)-0.6138	22607475	22607546	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	23355311	23355363	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:24563967-24564106(24563968:24564106|tsd_l:tsd)-0.5242	24563847	24563906	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	24617619	24617672	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	24617776	24617828	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:27061161-27061531(27061162:27061531|tsd_l:tsd)-0.6445	27061282	27061401	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	27079549	27079603	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:27396549-27396706(27396550:27396706|tsd_l:tsd)-0.6822	27396459	27396494	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089041.1:27654388-27654546(27654389:27654546|tsd_l:tsd)-0.5285	27654361	27654408	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	28185433	28185485	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	28185589	28185641	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	28397693	28397745	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	28985528	28985580	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	29591829	29591881	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	29644736	29644786	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	29644890	29644942	-	-	-	0	0.0	0.0
FP	NC_089041.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	29899304	29899356	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089040.1:21834209-21834489(21834210:21834489|tsd_l:tsd)-0.8020	2926052	2926120	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	4074309	4074361	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:4515562-4515907(4515563:4515907|tsd_l:11|tsd_s:4515565|tsd_e:4515900)-0.6116	4515555	4515608	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:4571423-4571562(4571424:4571562|tsd_l:tsd)-0.5094	4571318	4571366	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089042.1:21583117-21583382(21583118:21583382|tsd_l:tsd)-0.5509	5776642	5776719	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6173463	6173515	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6353567	6353619	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6353722	6353774	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:6426286-6426517(6426287:6426517|tsd_l:12|tsd_s:6426272|tsd_e:6426517)-0.5237	6426510	6426557	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:6732253-6732551(6732254:6732551|tsd_l:tsd)-0.5317	6732307	6732418	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	6849419	6849471	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7037831	7037883	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7037986	7038038	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7132886	7132938	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	7164543	7164596	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	7268496	7268652	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:7268732-7268911(7268733:7268911|tsd_l:tsd)-0.5391	7268789	7268861	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	7317251	7317404	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:8703938-8704175(8703939:8704175|tsd_l:16|tsd_s:8703945|tsd_e:8704175)-0.5880	7317497	7317556	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089035.1:29397836-29398079(29397837:29398079|tsd_l:tsd)-0.6595	8181367	8181408	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:8611466-8611699(8611467:8611699|tsd_l:tsd)-0.7530	8611601	8611659	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:8703938-8704175(8703939:8704175|tsd_l:16|tsd_s:8703945|tsd_e:8704175)-0.5880	8703921	8703980	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	8704073	8704226	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	8859086	8859138	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	8872713	8872765	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:8703938-8704175(8703939:8704175|tsd_l:16|tsd_s:8703945|tsd_e:8704175)-0.5880	9765544	9765603	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089039.1:855849-856111(855850:856111|tsd_l:11|tsd_s:855850|tsd_e:856115)-0.7031	9765696	9765848	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:11125190-11125294(11125191:11125294|tsd_l:tsd)-0.5271	11125041	11125075	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089035.1:12855292-12855542(12855293:12855542|tsd_l:tsd)-0.6306	11273640	11273904	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:12309106-12309293(12309107:12309293|tsd_l:tsd)-0.7924	12309107	12309184	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:31540647-31540928(31540648:31540928|tsd_l:tsd)-0.8156	12792136	12792230	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089035.1:9169789-9169952(9169790:9169952|tsd_l:11|tsd_s:9169796|tsd_e:9169974)-0.7230	13299639	13299761	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089036.1:18485056-18485177(18485057:18485177|tsd_l:tsd)-0.5218	18485059	18485106	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	19634881	19634933	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	20082672	20082724	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	20318773	20318825	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:19240366-19240838(19240367:19240838|tsd_l:tsd)-0.7372	20318928	20318980	-	-	-	0	0.0	0.0
FP	NC_089036.1	NC_089038.1:31540647-31540928(31540648:31540928|tsd_l:tsd)-0.8156	20958659	20958765	-	-	-	0	0.0	0.0
